Unit       Tday
   1  78.231365
   2  67.245203
   3 128.166625
   4 106.661481
   5  41.464418
   6  36.273086
   7  48.140514
   8  23.224960
   9  39.118823
  10  69.094581
  11  20.745286
  12  63.438326
  13  47.991358
  14  28.640258
  15  43.419184
  16  29.829211
  17  32.904401
  18   9.134151
  19  43.133825
  20  15.424950
  21  12.216868
  22  29.034214
  23  44.595985
  24  16.799900
  25  90.359625
  26  11.220083
  27  38.132014
  28  38.143627
  29  27.961464
  30  38.998575
  31  45.213877
  32  81.224870
  33  40.677884
  34  24.154905
  35 111.961677
  36  71.966841
  37  41.277120
  38  66.466363
  39  88.993412
  40  49.577130
  41  45.461799
  42  54.645237
  43  19.016091
  44  42.507696
  45  33.643062
  46   9.115602
  47  45.636674
  48  71.346369
  49  20.917184
  50  27.611285
  51  11.564619
  52  62.333168
  53  74.191328
  54   7.083260
  55  15.926750
  56  35.420223
  57  10.853229
  58  57.452570
  59 109.291993
  60  34.909927
